Ticker symbol, Security,SEC filings,Global Industry Classification StandardGICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,Central Index KeyCIK
NyseSymbolMMM,3M3M Company,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MMM&action=getcompany reports,Industrials     ,Industrial Conglomerates     St. Paul, Minnesota   0000066740
NasdaqSymbolAAPL,Apple Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AAPL&action=getcompany reports,Information Technology     Technology Hardware, Storage & Peripherals     Cupertino, California  1982-11-30  0000320193
NasdaqSymbolAMAT,Applied Materials Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AMAT&action=getcompany reports,Information Technology     Semiconductor Equipment     Santa Clara, California   0000006951
NyseSymbolADM,Archer-Daniels-Midland Co,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ADM&action=getcompany reports,Consumer Staples     Agricultural Products     Decatur, Illinois  1981-07-29  0000007084
NyseSymbolARNC,Arconic Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ARNC&action=getcompany reports,Industrials     Aerospace & Defense    New York, New York  1964-03-31  0000004281
NyseSymbolAJG,Arthur J. Gallagher & Co.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AJG&action=getcompany reports,Financials     Insurance Brokers     Itasca, Illinois  2016-05-31  0000354190
NyseSymbolAIZ,Assurant Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AIZ&action=getcompany reports,Financials     Multi-line Insurance     New York, New York  2007-04-10  0001267238
NyseSymbolT,AT&T Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=T&action=getcompany reports,Telecommunication Services     Integrated Telecommunication Services     Dallas, Texas  1983-11-30  0000732717
NasdaqSymbolADSK,Autodesk Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ADSK&action=getcompany reports,Information Technology     Application Software     San Rafael, California  1989-12-01  0000769397
NasdaqSymbolADP,Automatic Data Processing,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ADP&action=getcompany reports,Information Technology     Internet Software & Services     Roseland, New Jersey  1981-03-31  0000008670
NyseSymbolAN,AutoNation Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AN&action=getcompany reports,Consumer Discretionary          Specialty Stores,Fort Lauderdale, Florida    0000350698
NyseSymbolAZO,AutoZone Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AZO&action=getcompany reports,Consumer Discretionary     Specialty Stores     Memphis, Tennessee    0000866787
NyseSymbolAVB,AvalonBay Communities, Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AVB&action=getcompany reports,Real Estate     Residential REITs     Arlington, Virginia
NyseSymbolAVY,Avery Dennison Corp,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AVY&action=getcompany reports,Materials     Paper Packaging     Glendale, California  1987-12-31   0000008818
NyseSymbolBHI,Baker Hughes Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BHI&action=getcompany reports,Energy     Oil & Gas Equipment & Services     Houston, Texas   0000808362
NyseSymbolBLL,Ball Corp,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BLL&action=getcompany reports,Materials     Metal & Glass Containers     Broomfield, Colorado  1984-10-31  0000009389
NyseSymbolBAC,Bank of America Corp,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BAC&action=getcompany reports,Financials     Diversified Banks     Charlotte, North Carolina  1976-06-30  0000070858
NyseSymbolBK,The Bank of New York Mellon Corp.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BK&action=getcompany reports,Financials     Asset Management & Custody Banks     New York, New York   0001390777
NyseSymbolBCR,Bard (C.R.) Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BCR&action=getcompany reports           Health Care     Health Care Equipment     Murray Hill, New Jersey  1975-06-30  0000009892
NyseSymbolBAX,Baxter International Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BAX&action=getcompany reports,Health Care     Health Care Equipment    Deerfield, Illinois  1972-09-30  0000010456
NyseSymbolBBT,BB&T Corporation,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BBT&action=getcompany reports,Financials     Regional Banks     Winston-Salem, North Carolina   0000092230
NyseSymbolBDX,Becton Dickinson,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BDX&action=getcompany reports,Health Care     Health Care Equipment     Franklin Lakes, New Jersey  1972-09-30  0000010795
NasdaqSymbolBBBY,Bed Bath & Beyond,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BBBY&action=getcompany reports,Consumer Discretionary     Specialty Stores     Union Township, Union County, New JerseyUnion, New Jersey   0000886158
NyseSymbolBRK.B,Berkshire Hathaway,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BRKB&action=getcompany reports,Financials     Multi-Sector Holdings     Omaha, Nebraska   2010-02-16  0001067983
NyseSymbolBBY,Best Buy Co. Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BBY&action=getcompany reports,Consumer Discretionary     Computer & Electronics Retail     Richfield, Minnesota  1999-06-29  0000764478
NasdaqSymbolBIIB,BIOGEN IDEC Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BIIB&action=getcompany reports,Health Care     Biotechnology     Weston, Massachusetts   0000875045
NyseSymbolBLK,BlackRock,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BLK&action=getcompany reports,Financials Asset Management & Custody Banks New York, New York  2011-04-04  0001364742
NyseSymbolHRB,Block H&R,http://www.sec.gov/cgi-bin/browse-edgar?CIK=HRB&action=getcompany reports,Financials     Consumer Finance     Kansas City, Missouri  1986-11-30  0000012659
NyseSymbolBA,Boeing Company,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BA&action=getcompany reports,Industrials          Aerospace & Defense,Chicago, Illinois   0000012927
NyseSymbolBWA,BorgWarner,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BWA&action=getcompany reports,    Consumer Discretionary Auto Parts & Equipment     Auburn Hills, Michigan   2011-12-19  0000908255
NyseSymbolBXP,Boston Properties,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BXP&action=getcompany reports,Real Estate     Office REITs     Boston, Massachusetts  2006-04-03  0001037540
NyseSymbolBSX,Boston Scientific,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BSX&action=getcompany reports,Health Care     Health Care Equipment     Marlborough, Massachusetts
NyseSymbolBMY,Bristol-Myers Squibb,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BMY&action=getcompany reports,Health Care     Health Care Distributors     New York, New York   0000014272
NasdaqSymbolAVGO,Broadcom LimitedBroadcom,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AVGO&action=getcompany reports,Information Technology Semiconductors San Jose, California  2014-05-08  0001441634
NyseSymbolBF.B,Brown-Forman Corp.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=BFB&action=getcompany reports,Consumer Staples     Distillers & Vintners,     Louisville, Kentucky  1982-10-31  0000014693
NasdaqSymbolCHRW,C. H. Robinson Worldwide,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CHRW&action=getcompany reports,Industrials          Air Freight & Logistics,Eden Prairie, Minnesota  2007-03-02  0001043277
NasdaqSymbolCA,CA, Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CA&action=getcompany reports,Information Technology     Systems Software     Islandia, New York  1987-07-31  0000356028
NyseSymbolCOG,Cabot Oil & Gas  http://www.sec.gov/cgi-bin/browse-edgar?CIK=COG&action=getcompany reports,Energy     Oil & Gas Exploration & Production     Houston, Texas  2008-06-23 0000858470
